id;lang;word;definition;hint;difficulty;nbTimesChosen
21;E;APPLE;Round fruit;Green or red;E;0
22;E;BANANA;Long and curved fruit with;Yellow peel;E;0
23;E;ELEPHANT;Large mammal;Long trunk;E;0
24;E;FISH;Aquatic creature;Gills;E;0
25;E;GUITAR;Musical instrument;Stringed;E;0
26;E;IGLOO;Dome-shaped shelter made;Ice blocks;E;0
27;E;JELLY;Sweet dessert;Gelatinous;E;0
28;E;LEMON;Citrus fruit;Yellow;E;0
29;E;MONKEY;Primate;Swinging from trees;E;0
30;E;NOTE;Message;Can be found in a music sheet;E;0
31;E;ORANGE;Round citrus fruit;Vitamin C;E;0
32;E;PENGUIN;Flightless bird;Southern Hemisphere;E;0
33;E;QUEEN;Monarch;Female;E;0
34;E;RABBIT;Small mammal;Long ears;E;0
35;E;STAR;Celestial body;Luminous;E;0
36;E;UMBRELLA;Device used for protection;Rain;E;0
37;E;BOOK;Written work;Pages;E;0
38;E;CHAIR;Piece of furniture;Living room;E;0
39;E;DOOR;Entrance point;Exit;E;0
40;E;FLOWER;Plant;Colorful;E;0
41;E;GIFT;Something given;Without payment;E;0
42;E;JUICE;Liquid;Fruits;E;0
43;E;LAMP;Device on a table;Light;E;0
